C7DB  EA A9 FF                                   A:80 X:0 Y:0 P:A4 SP:FB PPU:  0, 21 CYC:7
C7DC  A9 FF 85                                   A:80 X:0 Y:0 P:A4 SP:FB PPU:  0, 21 CYC:7
C7DE  85 1 24                                   A:FF X:0 Y:0 P:A4 SP:FB PPU:  0, 21 CYC:7
C7E0  24 1 A9                                   A:FF X:0 Y:0 P:A4 SP:FB PPU:  0, 21 CYC:7
C7E2  A9 0 38                                   A:FF X:0 Y:0 P:E4 SP:FB PPU:  0, 21 CYC:7
C7E4  38 78 F8                                   A:0 X:0 Y:0 P:66 SP:FB PPU:  0, 21 CYC:7
C7E5  78 F8 8                                   A:0 X:0 Y:0 P:67 SP:FB PPU:  0, 21 CYC:7
C7E6  F8 8 68                                   A:0 X:0 Y:0 P:67 SP:FB PPU:  0, 21 CYC:7
C7E7  8 68 29                                   A:0 X:0 Y:0 P:6F SP:FB PPU:  0, 21 CYC:7
C7E8  68 29 EF                                   A:0 X:0 Y:0 P:6F SP:FA PPU:  0, 21 CYC:7
C7E9  29 EF C9                                   A:7F X:0 Y:0 P:6D SP:FB PPU:  0, 21 CYC:7
C7EB  C9 6F F0                                   A:6F X:0 Y:0 P:6D SP:FB PPU:  0, 21 CYC:9
C7ED  F0 4 A2                                   A:6F X:0 Y:0 P:6F SP:FB PPU:  0, 21 CYC:9
C7F3  EA A9 40                                   A:6F X:0 Y:0 P:6F SP:FB PPU:  0, 21 CYC:9
C7F4  A9 40 85                                   A:6F X:0 Y:0 P:6F SP:FB PPU:  0, 21 CYC:9
C7F6  85 1 24                                   A:40 X:0 Y:0 P:6D SP:FB PPU:  0, 21 CYC:9
C7F8  24 1 D8                                   A:40 X:0 Y:0 P:6D SP:FB PPU:  0, 21 CYC:9
C7FA  D8 A9 10                                   A:40 X:0 Y:0 P:6D SP:FB PPU:  0, 21 CYC:9
C7FB  A9 10 18                                   A:40 X:0 Y:0 P:65 SP:FB PPU:  0, 21 CYC:9
C7FD  18 8 68                                   A:10 X:0 Y:0 P:65 SP:FB PPU:  0, 21 CYC:9
C7FE  8 68 29                                   A:10 X:0 Y:0 P:64 SP:FB PPU:  0, 21 CYC:9
C7FF  68 29 EF                                   A:10 X:0 Y:0 P:64 SP:FA PPU:  0, 21 CYC:9
C800  29 EF C9                                   A:74 X:0 Y:0 P:64 SP:FB PPU:  0, 21 CYC:9
C802  C9 64 F0                                   A:64 X:0 Y:0 P:64 SP:FB PPU:  0, 21 CYC:11
C804  F0 4 A2                                   A:64 X:0 Y:0 P:67 SP:FB PPU:  0, 21 CYC:11
C80A  EA A9 80                                   A:64 X:0 Y:0 P:67 SP:FB PPU:  0, 21 CYC:11
C80B  A9 80 85                                   A:64 X:0 Y:0 P:67 SP:FB PPU:  0, 21 CYC:11
C80D  85 1 24                                   A:80 X:0 Y:0 P:E5 SP:FB PPU:  0, 21 CYC:11
C80F  24 1 F8                                   A:80 X:0 Y:0 P:E5 SP:FB PPU:  0, 21 CYC:11
C811  F8 A9 0                                   A:80 X:0 Y:0 P:A5 SP:FB PPU:  0, 21 CYC:11
C812  A9 0 38                                   A:80 X:0 Y:0 P:AD SP:FB PPU:  0, 21 CYC:11
C814  38 8 68                                   A:0 X:0 Y:0 P:2F SP:FB PPU:  0, 21 CYC:11
C815  8 68 29                                   A:0 X:0 Y:0 P:2F SP:FB PPU:  0, 21 CYC:11
C816  68 29 EF                                   A:0 X:0 Y:0 P:2F SP:FA PPU:  0, 21 CYC:11
C817  29 EF C9                                   A:3F X:0 Y:0 P:2D SP:FB PPU:  0, 21 CYC:11
C819  C9 2F F0                                   A:2F X:0 Y:0 P:2D SP:FB PPU:  0, 21 CYC:13
C81B  F0 4 A2                                   A:2F X:0 Y:0 P:2F SP:FB PPU:  0, 21 CYC:13
C821  EA A9 FF                                   A:2F X:0 Y:0 P:2F SP:FB PPU:  0, 21 CYC:13
C822  A9 FF 48                                   A:2F X:0 Y:0 P:2F SP:FB PPU:  0, 21 CYC:13
C824  48 28 D0                                   A:FF X:0 Y:0 P:AD SP:FB PPU:  0, 21 CYC:13
C825  28 D0 9                                   A:FF X:0 Y:0 P:AD SP:FA PPU:  0, 21 CYC:13
C826  D0 9 10                                   A:FF X:0 Y:0 P:EF SP:FB PPU:  0, 21 CYC:13
C828  10 7 50                                   A:FF X:0 Y:0 P:EF SP:FB PPU:  0, 21 CYC:13
C82A  50 5 90                                   A:FF X:0 Y:0 P:EF SP:FB PPU:  0, 21 CYC:13
C82C  90 3 4C                                   A:FF X:0 Y:0 P:EF SP:FB PPU:  0, 21 CYC:13
C82E  4C 35 C8                                   A:FF X:0 Y:0 P:EF SP:FB PPU:  0, 21 CYC:13
C835  EA A9 4                                   A:FF X:0 Y:0 P:EF SP:FB PPU:  0, 21 CYC:13
C836  A9 4 48                                   A:FF X:0 Y:0 P:EF SP:FB PPU:  0, 21 CYC:13
C838  48 28 F0                                   A:4 X:0 Y:0 P:6D SP:FB PPU:  0, 21 CYC:13
C839  28 F0 9                                   A:4 X:0 Y:0 P:6D SP:FA PPU:  0, 21 CYC:13
C83A  F0 9 30                                   A:4 X:0 Y:0 P:24 SP:FB PPU:  0, 21 CYC:13
C83C  30 7 70                                   A:4 X:0 Y:0 P:24 SP:FB PPU:  0, 21 CYC:13
C83E  70 5 B0                                   A:4 X:0 Y:0 P:24 SP:FB PPU:  0, 21 CYC:13
C840  B0 3 4C                                   A:4 X:0 Y:0 P:24 SP:FB PPU:  0, 21 CYC:13
C842  4C 49 C8                                   A:4 X:0 Y:0 P:24 SP:FB PPU:  0, 21 CYC:13
C849  EA F8 A9                                   A:4 X:0 Y:0 P:24 SP:FB PPU:  0, 21 CYC:13
C84A  F8 A9 FF                                   A:4 X:0 Y:0 P:24 SP:FB PPU:  0, 21 CYC:13
C84B  A9 FF 85                                   A:4 X:0 Y:0 P:2C SP:FB PPU:  0, 21 CYC:13
